TermID	Name	Value	Frequency	Dispensability
GO:1904837	beta-catenin-TCF complex assembly	-300	2.461352943687051e-06	0.00631793
GO:0140067	peptidyl-lysine butyrylation	-300	0.000125529000128	0.04002474
GO:1905395	response to flavonoid	-300	0.0001550652354522	-0.0
GO:0045023	G0 to G1 transition	-300	0.000322437235623	0.00795699
GO:1905446	regulation of mitochondrial ATP synthesis coupled electron transport	-300	0.0003987391768773	0.14421942
GO:2000371	regulation of DNA topoisomerase (ATP-hydrolyzing) activity	-300	0.0004036618827646	0.08777391
GO:0060353	regulation of cell adhesion molecule production	-300	0.0006645652947955	0.10267782
GO:0051674	localization of cell	-300	0.0007334831772187	0.14563013
GO:2000737	negative regulation of stem cell differentiation	-300	0.0026927201203936	0.11023386
GO:0051012	microtubule sliding	-300	0.0050039305345157	0.00931641
GO:0043903	regulation of biological process involved in symbiotic interaction	-300	0.0098724866571287	0.10938451
GO:2001135	regulation of endocytic recycling	-300	0.0101260060103285	0.11848837
GO:2000628	regulation of miRNA metabolic process	-300	0.0105665881872485	0.10980569
GO:2000114	regulation of establishment of cell polarity	-300	0.0122944579537168	0.11980259
GO:0032878	regulation of establishment or maintenance of cell polarity	-300	0.0173328474294442	0.12220166
GO:0098727	maintenance of cell number	-300	0.0174214561354169	-0.0
GO:1900046	regulation of hemostasis	-300	0.0190336423135319	0.11359416
GO:2001252	positive regulation of chromosome organization	-300	0.020535067609181	0.0
GO:0046149	pigment catabolic process	-300	0.0227404398467246	0.0343381
GO:0048066	developmental pigmentation	-300	0.0239391187303002	-0.0
GO:0050792	regulation of viral process	-300	0.0257186769085859	0.11563474
GO:0000920	septum digestion after cytokinesis	-300	0.0280791143815818	0.01043815
GO:2000045	regulation of G1/S transition of mitotic cell cycle	-300	0.0384955600392654	0.14301955
GO:0097164	ammonium ion metabolic process	-300	0.0384955600392654	0.03575743
GO:0043473	pigmentation	-300	0.0431229035733971	-0.0
GO:0060249	anatomical structure homeostasis	-300	0.0436151741621345	-0.0
GO:0007623	circadian rhythm	-300	0.0799201300815185	-0.0
GO:0019058	viral life cycle	-300	0.0884314885607883	-0.0
GO:0008283	cell population proliferation	-300	0.0982252119237191	0.01143802
GO:0071852	fungal-type cell wall organization or biogenesis	-300	0.1079450946983393	0.01152118
GO:0098630	aggregation of unicellular organisms	-300	0.1102587664654051	0.01154003
GO:2001233	regulation of apoptotic signaling pathway	-300	0.1122475396439042	0.13713886
GO:0098743	cell aggregation	-300	0.1132222354096043	0.0115637
GO:0040007	growth	-300	0.1151002477056375	-0.0
GO:0051703	biological process involved in intraspecies interaction between organisms	-300	0.1175886755317051	-0.0
GO:0016032	viral process	-300	0.1208475068291468	-0.0
GO:0048511	rhythmic process	-300	0.1397457747307759	-0.0
GO:2000241	regulation of reproductive process	-300	0.1402675815548376	0.14501515
GO:0104004	cellular response to environmental stimulus	-300	0.1598993326336855	0.14882421
GO:1990778	protein localization to cell periphery	-300	0.2139531046299968	-0.0
GO:0007163	establishment or maintenance of cell polarity	-300	0.2266586085253094	0.01322608
GO:0048609	multicellular organismal reproductive process	-300	0.2748518991627019	-0.0
GO:0140053	mitochondrial gene expression	-300	0.2964650393612179	0.12337713
GO:0072593	reactive oxygen species metabolic process	-300	0.3314064057497992	0.12491432
GO:0043094	cellular metabolic compound salvage	-300	0.3608564937210148	0.12611498
GO:0006915	apoptotic process	-300	0.3770497347375319	0.01384954
GO:0006518	peptide metabolic process	-300	0.3993126721131813	0.04380314
GO:0008219	cell death	-300	0.419771437781108	0.0139886
GO:0061919	process utilizing autophagic mechanism	-300	0.4385663288591023	0.01404616
GO:0042440	pigment metabolic process	-300	0.481708923256049	0.04460808
GO:0016477	cell migration	-300	0.4827820731394965	0.01417405
GO:0040011	locomotion	-300	0.4992706765092561	-0.0
GO:0098609	cell-cell adhesion	-300	0.542898157436109	0.01315893
GO:0033013	tetrapyrrole metabolic process	-300	0.6907442447045591	0.0462407
GO:1903509	liposaccharide metabolic process	-300	0.7651164852510071	-0.0
GO:0030029	actin filament-based process	-300	0.8043086081733359	0.01645542
GO:0070085	glycosylation	-300	0.8286218525510767	0.04788757
GO:0048870	cell motility	-300	0.8376747086779577	0.01652936
GO:0072527	pyrimidine-containing compound metabolic process	-300	0.8949011646186815	0.04748938
GO:0002376	immune system process	-300	0.908222006749916	-0.0
GO:0007155	cell adhesion	-300	1.0284049482842672	0.01691288
GO:0022414	reproductive process	-300	1.0417430198861073	-0.0
GO:0044419	biological process involved in interspecies interaction between organisms	-300	1.0657609019106056	-0.0
GO:0006575	cellular modified amino acid metabolic process	-300	1.0867980855202988	0.14404494
GO:0045333	cellular respiration	-300	1.3395396511898598	0.1480364
GO:0007017	microtubule-based process	-300	1.352798959497502	0.01745415
GO:0051301	cell division	-300	1.377833380287743	0.01749159
GO:0071554	cell wall organization or biogenesis	-300	1.4067813522584465	0.01577313
GO:0043603	amide metabolic process	-300	1.825971910744844	0.06144455
GO:0042592	homeostatic process	-300	1.9296957851447605	-0.0
GO:0007049	cell cycle	-300	2.051845347681118	0.01834623
GO:0032259	methylation	-300	2.658591000476469	0.06472555
GO:0072521	purine-containing compound metabolic process	-300	3.3101012792586566	0.05605099
GO:0032501	multicellular organismal process	-300	3.5834862120669206	-0.0
GO:0032502	developmental process	-300	3.830665120083749	-0.0
GO:1901605	alpha-amino acid metabolic process	-300	3.9444608507292327	0.09115725
GO:0005975	carbohydrate metabolic process	-300	5.177832504046095	0.12789186
GO:0006520	amino acid metabolic process	-300	5.5080894579711925	0.12927537
GO:0006629	lipid metabolic process	-300	5.980051423570241	0.12214006
GO:1901135	carbohydrate derivative metabolic process	-300	6.623993042050591	0.07437627
GO:0009056	catabolic process	-300	9.05402280817628	0.10558269
GO:0007154	cell communication	-300	9.236864411598072	0.03454011
GO:0071840	cellular component organization or biogenesis	-300	14.26840886478907	0.02563228
GO:0044281	small molecule metabolic process	-300	14.792283225323423	0.0984493
GO:0050896	response to stimulus	-300	16.94347616187058	-0.0
GO:0051179	localization	-300	19.63040225743477	-0.0
GO:0065007	biological regulation	-300	27.969320810822826	-0.0
GO:0008152	metabolic process	-300	58.08643542977757	-0.0
GO:0009987	cellular process	-300	74.54733381080298	-0.0
GO:0008150	biological_process	-300	100.0	-0.0
