TermID	Name	Value	LogSize	Frequency	Uniqueness	Dispensability	Representative
"GO:0000150"	"DNA strand exchange activity"	-300	4.56908115970042	0.08092287437159211	0.9379315522928928	0.48691408	null
"GO:0000182"	"rDNA binding"	-300	3.79546289439038	0.013626841039592424	0.9257037576287419	0.41746928	null
"GO:0000217"	"DNA secondary structure binding"	-300	4.61364100671677	0.08966692774410648	0.9294196202546356	0.36464607	null
"GO:0000234"	"phosphoethanolamine N-methyltransferase activity"	-300	2.683947130751512	0.0010520803109215998	0.9352874915783969	0.46219714	null
"GO:0000287"	"magnesium ion binding"	-300	5.90029337427456	1.734980838714495	0.935629614437324	0.32867923	null
"GO:0000400"	"four-way junction DNA binding"	-300	4.478436620683433	0.06567862355940028	0.9311239335640642	0.35379147	null
"GO:0000976"	"transcription cis-regulatory region binding"	-300	6.153311705691067	3.1067997063691872	0.8815962434400406	0.63393277	null
"GO:0000977"	"RNA polymerase II transcription regulatory region sequence-specific DNA binding"	-300	5.923792500129694	1.8314448164341406	0.8881012520811744	0.90038365	976
"GO:0000978"	"RNA polymerase II cis-regulatory region sequence-specific DNA binding"	-300	5.856906437642981	1.5700290520409343	0.8881570680181634	0.8821991	976
"GO:0000987"	"cis-regulatory region sequence-specific DNA binding"	-300	5.866615151983271	1.6055225747295157	0.8896092203287734	0.88479294	976
"GO:1990837"	"sequence-specific double-stranded DNA binding"	-300	6.171363366259856	3.2386568007726373	0.8827063914336106	0.92991885	976
"GO:0000981"	"DNA-binding transcription factor activity, RNA polymerase II-specific"	-300	6.026186262324628	2.318396477687505	0.9736463233468725	-0	null
"GO:0003700"	"DNA-binding transcription factor activity"	-300	6.435402523670657	5.948455529733023	0.9726986229817045	0.76677956	981
"GO:0001006"	"RNA polymerase III type 3 promoter sequence-specific DNA binding"	-300	3.949585151326652	0.01943292740276972	0.917029400790896	0.42700087	null
"GO:0001002"	"RNA polymerase III type 1 promoter sequence-specific DNA binding"	-300	3.435525851498655	0.005947964413405311	0.9197893156373624	0.90644845	1006
"GO:0001003"	"RNA polymerase III type 2 promoter sequence-specific DNA binding"	-300	3.4363217001397333	0.005958878109576697	0.9229870234689654	0.90653938	1006
"GO:0080084"	"5S rDNA binding"	-300	3.4983105537896004	0.006873445848738833	0.9257510966199174	0.92152299	1006
"GO:0001016"	"RNA polymerase III transcription regulatory region sequence-specific DNA binding"	-300	4.064158372463118	0.025300130464506774	0.9221968319762657	0.43437322	null
"GO:0001046"	"core promoter sequence-specific DNA binding"	-300	4.107311745490674	0.027943427677216432	0.9216493251709325	0.43721636	null
"GO:0001067"	"transcription regulatory region nucleic acid binding"	-300	6.153331843233675	3.1069437671586497	0.9140598834556761	0.38192782	null
"GO:0001098"	"basal transcription machinery binding"	-300	4.608878888173016	0.08868906056715031	0.8718195232366037	0.32940905	null
"GO:0001099"	"basal RNA polymerase II transcription machinery binding"	-300	4.608814754112072	0.08867596413174464	0.8660020153747413	0.32940555	null
"GO:0001091"	"RNA polymerase II general transcription initiation factor binding"	-300	3.8260099777911005	0.014619987391188539	0.8566989393089334	0.88552741	1099
"GO:0001093"	"TFIIB-class transcription factor binding"	-300	2.1958996524092336	0.0003405073205472398	0.8822772215249081	0.71582132	1099
"GO:0001227"	"DNA-binding transcription repressor activity, RNA polymerase II-specific"	-300	4.538812429633057	0.07547475724283627	0.9792233117820333	0.55510367	null
"GO:0001228"	"DNA-binding transcription activator activity, RNA polymerase II-specific"	-300	4.857959358058422	0.1573820470090874	0.9766764339467401	0.59502457	null
"GO:0001614"	"purinergic nucleotide receptor activity"	-300	4.061866972138563	0.025166983371215864	0.9575133175505061	0.61205926	null
"GO:0001635"	"calcitonin gene-related peptide receptor activity"	-300	2.9925535178321354	0.002143449928060189	0.9616969376796763	0.51025847	null
"GO:0001637"	"G protein-coupled chemoattractant receptor activity"	-300	4.268484363846722	0.04050072649201304	0.9567449636098199	0.63659222	null
"GO:0001646"	"cAMP receptor activity"	-300	0.9030899869919435	1.5279174639940246E-05	0.9693445322497863	0.68972817	null
"GO:0001786"	"phosphatidylserine binding"	-300	4.3042103864352335	0.043973464613748035	0.9400062154316956	0.68188545	null
"GO:0001882"	"nucleoside binding"	-300	4.317436496535099	0.045333311156702714	0.9295946469275223	0.22463618	null
"GO:0001884"	"pyrimidine nucleoside binding"	-300	0.47712125471966244	4.365478468554356E-06	0.9490390409612347	0.62419489	null
"GO:0002039"	"p53 binding"	-300	3.966188680956137	0.020190337917063896	0.8836610101408915	0.29767332	null
"GO:0002135"	"CTP binding"	-300	1.3222192947339193	4.3654784685543565E-05	0.9436655964526417	0.12510402	null
"GO:0002134"	"UTP binding"	-300	2.432969290874406	0.0005893395932548381	0.9363308531124863	0.89973892	2135
"GO:0032557"	"pyrimidine ribonucleotide binding"	-300	2.44870631990508	0.0006111669855976098	0.937096911798335	0.97665892	2135
"GO:0003674"	"molecular_function"	-300	7.660998154612795	100	1	-0	null
"GO:0003676"	"nucleic acid binding"	-300	6.972410120534942	20.48386614107179	0.9139006925881185	0.349124	null
"GO:0003677"	"DNA binding"	-300	6.746203426753578	12.1676078310834	0.8971598973523482	0.51352104	null
"GO:0003682"	"chromatin binding"	-300	5.459184338446896	0.6283254987182627	0.9644713975545968	0.0485524	null
"GO:0003684"	"damaged DNA binding"	-300	5.176941643135783	0.32805042773721993	0.9212522546049008	0.41808728	null
"GO:0003688"	"DNA replication origin binding"	-300	4.621238616222225	0.09124941368895743	0.9147606469241174	0.36527582	null
"GO:0003690"	"double-stranded DNA binding"	-300	6.215539485865457	3.5854285829222525	0.8993800545294398	0.57288986	null
"GO:0003697"	"single-stranded DNA binding"	-300	5.256763433469915	0.39424199501667534	0.9199310000702102	0.42695401	null
"GO:0003723"	"RNA binding"	-300	6.443305554056935	6.057692897451659	0.906603653464013	0.42489943	null
"GO:0003735"	"structural constituent of ribosome"	-300	5.987618454157255	2.1213867998801152	0.9963985209365319	0.62361787	null
"GO:0003774"	"cytoskeletal motor activity"	-300	5.242113880094346	0.38116520426412076	1	-0	null
