GO	evalue
GO:0006810	0.0
GO:0006897	0.0
GO:0006909	0.0
GO:0008150	0.0
GO:0016192	0.0
GO:0051179	0.0
GO:0051234	0.0
GO:0098657	0.0
GO:0000070	0.0
GO:0000228	0.0
GO:0000278	0.0
GO:0000280	0.0
GO:0000793	0.0
GO:0000794	0.0
GO:0000796	0.0
GO:0000799	0.0
GO:0000819	0.0
GO:0001671	0.0
GO:0003674	0.0
GO:0003682	0.0
GO:0005488	0.0
GO:0005515	0.0
GO:0005575	0.0
GO:0005622	0.0
GO:0005623	0.0
GO:0005634	0.0
GO:0005694	0.0
GO:0005737	0.0
GO:0006323	0.0
GO:0006996	0.0
GO:0007049	0.0
GO:0007059	0.0
GO:0007076	0.0
GO:0008047	0.0
GO:0009987	0.0
GO:0010911	0.0
GO:0010912	0.0
GO:0016043	0.0
GO:0019899	0.0
GO:0022402	0.0
GO:0030234	0.0
GO:0030261	0.0
GO:0031974	0.0
GO:0031981	0.0
GO:0032781	0.0
GO:0032991	0.0
GO:0043085	0.0
GO:0043226	0.0
GO:0043227	0.0
GO:0043228	0.0
GO:0043229	0.0
GO:0043231	0.0
GO:0043232	0.0
GO:0043233	0.0
GO:0043462	0.0
GO:0044093	0.0
GO:0044422	0.0
GO:0044424	0.0
GO:0044427	0.0
GO:0044428	0.0
GO:0044446	0.0
GO:0044454	0.0
GO:0044464	0.0
GO:0044547	0.0
GO:0044815	0.0
GO:0048285	0.0
GO:0050790	0.0
GO:0051276	0.0
GO:0051336	0.0
GO:0051345	0.0
GO:0060589	0.0
GO:0060590	0.0
GO:0065007	0.0
GO:0065009	0.0
GO:0070013	0.0
GO:0071103	0.0
GO:0071840	0.0
GO:0072586	0.0
GO:0072587	0.0
GO:0098772	0.0
GO:0098813	0.0
GO:0140014	0.0
GO:1903047	0.0
GO:2000371	0.0
GO:2000373	0.0
GO:0000323	0.0
GO:0005764	0.0
GO:0005765	0.0
GO:0005768	0.0
GO:0005769	0.0
GO:0005770	0.0
GO:0005773	0.0
GO:0005774	0.0
GO:0005829	0.0
GO:0005938	0.0
GO:0006508	0.0
GO:0006807	0.0
GO:0006914	0.0
GO:0006950	0.0
GO:0007034	0.0
GO:0007041	0.0
GO:0008152	0.0
GO:0008333	0.0
GO:0009056	0.0
GO:0009057	0.0
GO:0009966	0.0
GO:0009967	0.0
GO:0010008	0.0
GO:0010033	0.0
GO:0010243	0.0
GO:0010498	0.0
GO:0010646	0.0
GO:0010647	0.0
GO:0012505	0.0
GO:0016020	0.0
GO:0016197	0.0
GO:0016236	0.0
GO:0019538	0.0
GO:0019898	0.0
GO:0023051	0.0
GO:0023056	0.0
GO:0030111	0.0
GO:0030163	0.0
GO:0030177	0.0
GO:0031090	0.0
GO:0031410	0.0
GO:0031901	0.0
GO:0031902	0.0
GO:0031982	0.0
GO:0032509	0.0
GO:0032510	0.0
GO:0033554	0.0
GO:0034976	0.0
GO:0036503	0.0
GO:0042221	0.0
GO:0043170	0.0
GO:0044237	0.0
GO:0044238	0.0
GO:0044248	0.0
GO:0044257	0.0
GO:0044260	0.0
GO:0044265	0.0
GO:0044267	0.0
GO:0044425	0.0
GO:0044433	0.0
GO:0044437	0.0
GO:0044440	0.0
GO:0044444	0.0
GO:0044448	0.0
GO:0045177	0.0
GO:0045179	0.0
GO:0046907	0.0
GO:0048518	0.0
GO:0048522	0.0
GO:0048583	0.0
GO:0048584	0.0
GO:0050789	0.0
GO:0050794	0.0
GO:0050896	0.0
GO:0051603	0.0
GO:0051641	0.0
GO:0051649	0.0
GO:0051716	0.0
GO:0060828	0.0
GO:0061919	0.0
GO:0071704	0.0
GO:0071944	0.0
GO:0071985	0.0
GO:0090263	0.0
GO:0097708	0.0
GO:0098588	0.0
GO:0098805	0.0
GO:0098852	0.0
GO:0099568	0.0
GO:0099738	0.0
GO:1901564	0.0
GO:1901565	0.0
GO:1901575	0.0
GO:1901698	0.0
GO:0000166	0.0
GO:0000187	0.0
GO:0001614	0.0
GO:0001637	0.0
GO:0001646	0.0
GO:0001653	0.0
GO:0001932	0.0
GO:0001934	0.0
GO:0002029	0.0
GO:0004888	0.0
GO:0004930	0.0
GO:0005886	0.0
GO:0005887	0.0
GO:0006935	0.0
GO:0007154	0.0
GO:0007165	0.0
GO:0007166	0.0
GO:0007186	0.0
GO:0007187	0.0
GO:0007188	0.0
GO:0007189	0.0
GO:0007190	0.0
GO:0008277	0.0
GO:0008528	0.0
GO:0009267	0.0
GO:0009605	0.0
GO:0009893	0.0
GO:0009968	0.0
GO:0009986	0.0
GO:0009991	0.0
GO:0010517	0.0
GO:0010519	0.0
GO:0010562	0.0
GO:0010604	0.0
GO:0010648	0.0
GO:0014070	0.0
GO:0016021	0.0
GO:0016502	0.0
GO:0017076	0.0
GO:0019220	0.0
GO:0019222	0.0
GO:0019932	0.0
GO:0019933	0.0
GO:0019934	0.0
GO:0019935	0.0
GO:0022401	0.0
GO:0023052	0.0
GO:0023057	0.0
GO:0023058	0.0
GO:0030100	0.0
GO:0030551	0.0
GO:0030552	0.0
GO:0030554	0.0
GO:0030587	0.0
GO:0031152	0.0
GO:0031224	0.0
GO:0031226	0.0
GO:0031323	0.0
GO:0031325	0.0
GO:0031399	0.0
GO:0031401	0.0
GO:0031667	0.0
GO:0031668	0.0
GO:0031669	0.0
GO:0032147	0.0
GO:0032148	0.0
GO:0032268	0.0
GO:0032270	0.0
GO:0032502	0.0
GO:0032553	0.0
GO:0032555	0.0
GO:0032559	0.0
GO:0032879	0.0
GO:0033674	0.0
GO:0035556	0.0
GO:0035586	0.0
GO:0035587	0.0
GO:0035590	0.0
GO:0036094	0.0
GO:0038023	0.0
GO:0040011	0.0
GO:0042325	0.0
GO:0042327	0.0
GO:0042330	0.0
GO:0042493	0.0
GO:0042594	0.0
GO:0043086	0.0
GO:0043087	0.0
GO:0043167	0.0
GO:0043168	0.0
GO:0043405	0.0
GO:0043406	0.0
GO:0043408	0.0
GO:0043410	0.0
GO:0043547	0.0
GO:0043549	0.0
GO:0043949	0.0
GO:0043950	0.0
GO:0044092	0.0
GO:0044459	0.0
GO:0044764	0.0
GO:0045472	0.0
GO:0045744	0.0
GO:0045745	0.0
GO:0045859	0.0
